Date,Day,WaterLevel (mPWD),Rainfall(mm),Floodornot
  2 Jun 2021,153,16.282,0.45917,0
  3 Jun 2021,154,16.22,3.85484,0
  4 Jun 2021,155,16.192,8.2851,0
  5 Jun 2021,156,16.266,9.46091,0
  6 Jun 2021,157,16.464,21.6265,0
  7 Jun 2021,158,16.77,13.0499,0
  8 Jun 2021,159,17.088,22.5155,0
  9 Jun 2021,160,17.306,3.44088,0
 10 Jun 2021,161,17.276,28.1747,0
 11 Jun 2021,162,17.23,27.1073,0
 12 Jun 2021,163,17.304,9.68433,0
 13 Jun 2021,164,17.358,4.35542,0
 14 Jun 2021,165,17.296,2.64045,0
 15 Jun 2021,166,17.058,16.7582,0
 16 Jun 2021,167,16.998,9.55893,0
 17 Jun 2021,168,16.99,14.7752,0
 18 Jun 2021,169,17.036,29.4088,0
 19 Jun 2021,170,17.124,20.3667,0
 20 Jun 2021,171,17.154,25.2138,0
 21 Jun 2021,172,17.192,2.25706,0
 22 Jun 2021,173,17.11,0,0
 23 Jun 2021,174,17.024,1.21052,0
 24 Jun 2021,175,17.062,0.0474005,0
 25 Jun 2021,176,17.098,0,0
 26 Jun 2021,177,17.164,7.34805,0
 27 Jun 2021,178,17.27,12.6325,0
 28 Jun 2021,179,17.524,23.4514,0
 29 Jun 2021,180,17.948,36.548,0
 30 Jun 2021,181,18.236,52.0464,0
  1 Jul 2021,182,18.258,12.5344,0
  2 Jul 2021,183,18.346,29.0815,0
  3 Jul 2021,184,18.66,10.5921,0
  4 Jul 2021,185,18.864,0.09478528,0
  5 Jul 2021,186,18.89,0.997711,0
  6 Jul 2021,187,18.882,24.9638,0
  7 Jul 2021,188,18.852,7.32445,0
  8 Jul 2021,189,18.854,2.31557,0
  9 Jul 2021,190,18.768,1.26047,0
 10 Jul 2021,191,18.588,4.35406,0
 11 Jul 2021,192,18.462,1.24844,0
 12 Jul 2021,193,18.398,4.77415,0
 13 Jul 2021,194,18.3,3.98291,0
 14 Jul 2021,195,18.328,1.87546,0
 15 Jul 2021,196,18.45,7.3143,0
 16 Jul 2021,197,18.566,3.04672,0
 17 Jul 2021,198,18.584,14.6041,0
 18 Jul 2021,199,18.514,4.91029,0
 19 Jul 2021,200,18.408,3.22685,0
 20 Jul 2021,201,18.288,28.7872,0
 21 Jul 2021,202,18.22,0.601042,0
 22 Jul 2021,203,18.108,4.4241,0
 23 Jul 2021,204,17.98,4.29945,0
 24 Jul 2021,205,17.814,4.64538,0
 25 Jul 2021,206,17.662,13.3915,0
 26 Jul 2021,207,17.506,6.02531,0
 27 Jul 2021,208,17.434,0.07831068,0
 28 Jul 2021,209,17.416,6.99298,0
 29 Jul 2021,210,17.422,8.13583,0
 30 Jul 2021,211,17.454,11.6031,0
 31 Jul 2021,212,17.55,12.9751,0
